category,title,link,content
Business,"
                     Zimplats nominates new external auditor
                    ",https://www.newsday.co.zw/business/article/200026671/zimplats-nominates-new-external-auditor,"
                A resolution proposing the appointment of Axcentium as Zimplats’ external auditor will be put before shareholders at the company’s 2024 annual general meeting.
              "
Business,"
                     ZiG brought more misery for consumers: CCZ
                    ",https://www.newsday.co.zw/author/5365/business-reporter,"
                ZiG was introduced last month to replace the Zimbabwe dollar, but the new currency has faced public resistance, especially from commuter transport operators, making life difficult for consumers
              "
Business,"
                     Dairy industry under threat
                    ",https://www.newsday.co.zw/business/article/200026667/zig-brought-more-misery-for-consumers-ccz,"
                Chadoka highlighted the association's efforts to make semen available at subsidised rates.
              "
Business,"
                     Vumbachikwe Mine faces corporate rescue.
                    ",https://www.newsday.co.zw/author/6352/tafadzwa-mhlanga,"
                Vumbachikwe Mine, situated in Gwanda and owned by Duration Gold, reportedly owes various creditors, including workers, the Zimbabwe Revenue Authority and Zesa Holdings more than US$10 million.
              "
Business,"
                     Industry minister engages businesses over ZiG
                    ",https://www.newsday.co.zw/business/article/200026661/dairy-industry-under-threat,"
                He toured a US$5,6 million pasta manufacturing plant and a US$7,7 million biscuit making line.
              "
Business,"
                     Invictus identifies multiple gas potentials
                    ",https://www.newsday.co.zw/author/6330/gamuchirai-nyamuziwa,"
                The reservoir rock, according to experts, is the porous, permeable rock layer that hold the oil and gas.
              "
Business,"
                     London firm targets bulk-mining in Zim
                    ",https://www.newsday.co.zw/business/article/200026634/vumbachikwe-mine-faces-corporate-rescue,"
                This is expected to enable it to test the potential for a bulk mineable gold deposit across the entire shear zone at both prospects.
              "
Business,"
                     WestProp plots mega capital raise
                    ",https://www.newsday.co.zw/author/5247/nizbert-moyo,"
                He said the lesson learnt from last year was that WestProp was supposed to do a book building exercise to whet the market’s appetite about the IPO.
              "
Business,"
                     General Beltings seeks to consolidate market position
                    ",https://www.newsday.co.zw/business/article/200026633/industry-minister-engages-businesses-over-zig,"
                Due to geopolitical tensions, mineral reserves will flood the markets and depress demand for minerals that Zimbabwe would ordinarily supply.
              "
Business,"
                     Econet says it wants to make all remittances into Zimbabwe free
                    ",https://www.newsday.co.zw/author/5236/tatira-zwinoira,"
                Econet’s group chief executive, Douglas Mboweni, said the initiative would remain in place for some time
              "
Business,"
                     We’ll soar like an eagle: Zimre
                    ",https://www.newsday.co.zw/author/6312/blessed-ndlovu,"
                The group’s healthy balance sheet position is evidence of its resilience and commitment to provide its stakeholders with security, growth and profitability.
              "
Business,"
                     Govt introduces fresh tax to keep forex inland
                    ",https://www.newsday.co.zw/business/article/200026603/invictus-identifies-multiple-gas-potentials,"
                Ncube also introduced new charges for withdrawing ZiG and on local currency transactions.
              "
Business,"
                     Fidelity profit rises by 1 000%
                    ",https://www.newsday.co.zw/author/5245/mthandazo-nyoni,"
                In terms of assets, these were valued at ZWL$483,77 billion, up nearly 79% from the 2022 comparative, driven by investment properties.
              "
Business,"
                     The Top 5 Container Shipping Companies In The World
                    ",https://www.newsday.co.zw/business/article/200026599/london-firm-targets-bulk-mining-in-zim,"
                Container shipping is at the core of the global economy, with this industry
              "
Business,"
                     CBZ to monitor risks to protect 330% profit
                    ",https://www.newsday.co.zw/author/5226/melody-chikono,"
                Increased lending and financial securities helped grow CBZ’s total assets to ZWL8,25 trillion at the end of last year, an increase of nearly 80% from 2022.
              "
Business,"
                     ZCTU mourns over low wages
                    ",https://www.newsday.co.zw/business/article/200026602/westprop-plots-mega-capital-raise,"
                The letter indicated that any failure on the part of the employment council to comply with those requirements constitutes justifiable grounds for the registrar to cancel a certificate.
              "
Business,"
                     ‘Entrepreneurs need to enter into alliances’
                    ",https://www.newsday.co.zw/author/5365/business-reporter,"
                Tsokodayi also said entrepreneurs should see micro-finance institutions as partners rather than loan sharks.
              "
Business,"
                     African Sun flush with cash for capital investments
                    ",https://www.newsday.co.zw/business/article/200026600/general-beltings-seeks-to-consolidate-market-position,"
                The commitment comes after the firm increased its capital commitments last year to US$11,01 million, up 20,22% on the 2022 figures.
              "
Business,"
                     WestProp unveils US$300m mixed-use estate in urban renewal push
                    ",https://www.newsday.co.zw/author/5226/melody-chikono,"
                WestProp roped in renowned golf course designer Peter Matkovich and top  architect Joan Balagué Capdet to the project.
              "
Business,"
                     Watch ZiG closely: Fews Net
                    ",https://www.newsday.co.zw/business/article/200026610/econet-says-it-wants-to-make-all-remittances-into-zimbabwe-free,"
                Last month saw the introduction of the ZiG, replacing the battered Zimdollar that had experienced a sharp depreciation.
              "
Business,"
                     RTG Abridged financial results year ended 31 Decemeber  2023
                    ",https://www.newsday.co.zw/author/5200/donald-nyandoro,"
                rgt consolidated financials
              "
Business,"
                     Zim to achieve zero tariffs by 2035
                    ",https://www.newsday.co.zw/business/article/200026566/well-soar-like-an-eagle-zimre,"
                Zimbabwe’s tariff liberalisation schedule has 6 606 total tariff lines, which have been categorised as categories A, B, and C.
              "
Business,"
                     Zimplats spends US$789 million on projects
                    ",https://www.newsday.co.zw/author/5245/mthandazo-nyoni,"
                6E metal in final product improved by 12% year-on-year and was 1% higher than the prior quarter.
              "
Business,"
                     Econet in a remittance first for Zimbabwe
                    ",https://www.newsday.co.zw/business/article/200026572/govt-introduces-fresh-tax-to-keep-forex-inland,"
                Econet has partnered with its sister company, Sasai Money Transfer
              "
Business,"
                     Metbank eyes more forex loans to drive profitability
                    ",https://www.newsday.co.zw/author/6352/tafadzwa-mhlanga,"
                A monetary gain and fair value adjustment were the main drivers of profit after tax.
              "
